The	frequency	distribution	attribute	'lemma'	in	corpus	'internet-en'	For	more	information	visit	http://corpus.leeds.ac.uk/list.html	2005	-	corpus	size:	181376006	tokens	-	lexicon	size:	1701333	types
17224	cost-benefit	1.53																					
17225	chastity	1.53																					
17226	animosity	1.53																					
17227	patti	1.53																					
17228	bequest	1.53																					
17229	nudity	1.53																					
17230	ppp	1.53																					
17231	passively	1.53																					
17232	erwin	1.53																					
17233	obstetrician	1.53																					
17234	liturgical	1.53																					
17235	foreshadow	1.53																					
17236	dorset	1.53																					
17237	liquidate	1.53																					
17238	horsepower	1.53																					
17239	itv	1.53																					
17240	rowe	1.53																					
17241	endear	1.53																					
17242	incoherent	1.53																					
17243	non-government	1.53																					
17244	indiscriminate	1.53																					
17245	chernobyl	1.53																					
17246	spasm	1.53																					
17247	suture	1.53																					
17248	klan	1.53																					
17249	lorry	1.53																					
17250	complexion	1.53																					
17251	siberia	1.53																					
17252	oneness	1.53																					
17253	revisionist	1.53																					
17254	crochet	1.53																					
17255	whois	1.53																					
17256	collusion	1.53																					
17257	transformational	1.53																					
17258	ogged	1.53																					
17259	sharepoint	1.53																					
17260	deformation	1.53																					
17261	indigo	1.53																					
17262	wb	1.53																					
17263	progesterone	1.53																					
17264	cryptic	1.53																					
17265	weil	1.53																					
17266	netflix	1.53																					
17267	inquiring	1.52																					
17268	armoured	1.52																					
17269	labrador	1.52																					
17270	imp	1.52																					
17271	hubert	1.52																					
17272	Â£10	1.52																					
17273	michaels	1.52																					
17274	sheikh	1.52																					
17275	upstate	1.52																					
17276	opt-out	1.52																					
17277	disobey	1.52																					
17278	pragmatism	1.52																					
17279	rerun	1.52																					
17280	alinghi	1.52																					
17281	in-law	1.52																					
17282	woodrow	1.52																					
17283	pol	1.52																					
17284	vance	1.52																					
17285	mcgraw	1.52																					
17286	vice-chancellor	1.52																					
17287	kai	1.52																					
17288	uris	1.52																					
17289	lets	1.52																					
17290	1gb	1.52																					
17291	______	1.52																					
17292	duality	1.52																					
17293	cypress	1.52																					
17294	csc	1.52																					
17295	tangent	1.52																					
17296	ehrlich	1.52																					
17297	balk	1.52																					
17298	scorpion	1.52																					
17299	anti-inflammatory	1.52																					
17300	pneumatic	1.52																					
17301	sash	1.52																					
17302	zebra	1.52																					
17303	drool	1.52																					
17304	land-use	1.52																					
17305	sheehan	1.52																					
17306	marjorie	1.52																					
17307	lat	1.52																					
17308	guests	1.52																					
17309	pty	1.52																					
17310	coventry	1.52																					
17311	luminous	1.52																					
17312	smoky	1.52																					
17313	douglass	1.52																					
17314	yummy	1.52																					
17315	toni	1.52																					
17316	reposition	1.52																					
17317	kiddy	1.52																					
17318	primacy	1.52																					
17319	shouldnÂt	1.52																					
17320	autobiographical	1.52																					
17321	customizable	1.52																					
17322	npc	1.52																					
17323	s2	1.52																					
17324	virtualization	1.52																					
17325	sif	1.52																					
17326	prophesy	1.52																					
17327	demonic	1.52																					
17328	recoil	1.52																					
17329	ppl	1.52																					
17330	ingram	1.52																					
17331	lr	1.52																					
17332	hobart	1.52																					
17333	hideous	1.52																					
17334	pia	1.51																					
17335	helplessness	1.51																					
17336	haha	1.51																					
17337	pres	1.51																					
17338	variously	1.51																					
17339	rey	1.51																					
17340	tolerable	1.51																					
17341	mismanagement	1.51																					
17342	reproach	1.51																					
17343	insignia	1.51																					
17344	predation	1.51																					
17345	weighting	1.51																					
17346	whistleblower	1.51																					
17347	rosy	1.51																					
17348	barometer	1.51																					
17349	protease	1.51																					
17350	brandy	1.51																					
17351	xmas	1.51																					
17352	ventricle	1.51																					
17353	saucer	1.51																					
17354	vivo	1.51																					
17355	on-the-job	1.51																					
17356	walden	1.51																					
17357	beagle	1.51																					
17358	zdnet	1.51																					
17359	inspired	1.51																					
17360	content-type	1.51																					
17361	vibe	1.51																					
17362	seperate	1.51																					
17363	isabella	1.51																					
17364	questioner	1.51																					
17365	cass	1.51																					
17366	astray	1.51																					
17367	counterterrorism	1.51																					
17368	callahan	1.51																					
17369	grandeur	1.51																					
17370	heterogeneity	1.51																					
17371	19th-century	1.51																					
17372	theocracy	1.51																					
17373	noam	1.51																					
17374	rodgers	1.51																					
17375	islamabad	1.51																					
17376	propane	1.51																					
17377	blacklist	1.51																					
17378	skirmish	1.51																					
17379	understatement	1.51																					
17380	turns	1.51																					
17381	demean	1.51																					
17382	hiawatha	1.51																					
17383	hasnÂt	1.51																					
17384	ludhiana	1.51																					
17385	supercomputer	1.51																					
17386	deterministic	1.51																					
17387	eczema	1.51																					
17388	synthesizer	1.51																					
17389	momentary	1.51																					
17390	mistreat	1.51																					
17391	colgate	1.51																					
17392	hairdresser	1.51																					
17393	gillian	1.51																					
17394	fernandez	1.51																					
17395	amos	1.51																					
17396	chilly	1.51																					
17397	czechoslovakia	1.51																					
17398	ammonia	1.51																					
17399	invert	1.51																					
17400	clench	1.51																					
17401	swath	1.51																					
17402	firewood	1.51																					
17403	bosnian	1.51																					
17404	scalar	1.51																					
17405	sportsman	1.51																					
17406	monopolize	1.51																					
17407	digg	1.51																					
17408	separator	1.51																					
17409	sexism	1.51																					
17410	swindon	1.51																					
17411	sorcerer	1.51																					
17412	heathen	1.51																					
17413	webcasts	1.5																					
17414	muddle	1.5																					
17415	electrolyte	1.5																					
17416	crumb	1.5																					
17417	schneier	1.5																					
17418	eminently	1.5																					
17419	collaboratively	1.5																					
17420	bears	1.5																					
17421	carotid	1.5																					
17422	kellogg	1.5																					
17423	followup	1.5																					
17424	bronchitis	1.5																					
17425	mise	1.5																					
17426	inappropriately	1.5																					
17427	crystallize	1.5																					
17428	12-month	1.5																					
17429	yates	1.5																					
17430	peacemaker	1.5																					
17431	testicle	1.5																					
17432	deweyclass	1.5																					
17433	vioxx	1.5																					
17434	tithe	1.5																					
17435	ro	1.5																					
17436	neocons	1.5																					
17437	unicorn	1.5																					
17438	upland	1.5																					
17439	heartworm	1.5																					
17440	shard	1.5																					
17441	illustrious	1.5																					
17442	forty-five	1.5																					
17443	shameless	1.5																					
17444	antisocial	1.5																					
17445	kip	1.5																					
17446	pmi	1.5																					
17447	zach	1.5																					
17448	tantrum	1.49																					
17449	countenance	1.49																					
17450	pendant	1.49																					
17451	grassy	1.49																					
17452	hercules	1.49																					
17453	ovarian	1.49																					
17454	mplayer	1.49																					
17455	incorporated	1.49																					
17456	stripper	1.49																					
17457	potomac	1.49																					
17458	requisition	1.49																					
17459	fibrosis	1.49																					
17460	roberta	1.49																					
17461	self-awareness	1.49																					
17462	barr	1.49																					
17463	decisionmake	1.49																					
17464	mcveigh	1.49																					
17465	sammy	1.49																					
17466	plo	1.49																					
17467	feces	1.49																					
17468	concurrence	1.49																					
17469	transactional	1.49																					
17470	uproar	1.49																					
17471	quail	1.49																					
17472	coo	1.49																					
17473	kemp	1.49																					
17474	braun	1.49																					
17475	id	1.49																					
17476	abiword	1.49																					
17477	marcos	1.49																					
17478	ventilator	1.49																					
17479	comprehensively	1.49																					
17480	bnp	1.49																					
17481	midsummer	1.49																					
17482	typescript	1.49																					
17483	throttle	1.49																					
17484	________	1.49																					
17485	kiln	1.49																					
17486	crystalline	1.49																					
17487	snowstorm	1.49																					
17488	demonize	1.49																					
17489	mcguire	1.49																					
17490	win-win	1.49																					
17491	goofy	1.49																					
17492	jock	1.49																					
17493	premiership	1.49																					
17494	worldcom	1.49																					
17495	hipaa	1.49																					
17496	mesmerize	1.49																					
17497	selenium	1.49																					
17498	sweetness	1.49																					
17499	towering	1.49																					
17500	yearn	1.49																					
17501	dehydrate	1.49																					
17502	meteorite	1.49																					
17503	ferris	1.49																					
17504	p2	1.49																					
17505	rj	1.49																					
17506	whig	1.49																					
17507	unconditionally	1.49																					
17508	unitary	1.49																					
17509	tripod	1.49																					
17510	ctbt	1.49																					
17511	psychosis	1.49																					
17512	twenty-two	1.49																					
17513	tp	1.49																					
17514	rosenthal	1.49																					
17515	extraneous	1.49																					
17516	methamphetamine	1.49																					
17517	sinn	1.49																					
17518	pak	1.49																					
17519	wondrous	1.49																					
17520	acidic	1.49																					
17521	ere	1.49																					
17522	nucleotide	1.49																					
17523	usefully	1.49																					
17524	storey	1.49																					
17525	accede	1.49																					
17526	on-demand	1.49																					
17527	tart	1.49																					
17528	enigma	1.49																					
17529	serotonin	1.49																					
17530	middle-income	1.49																					
17531	talbot	1.49																					
17532	bonfire	1.49																					
17533	sprawling	1.49																					
17534	annoyed	1.48																					
17535	crucifixion	1.48																					
17536	farthest	1.48																					
17537	rsa	1.48																					
17538	cobble	1.48																					
17539	carrying	1.48																					
17540	wag	1.48																					
17541	taxon	1.48																					
17542	crux	1.48																					
17543	toggle	1.48																					
17544	chipset	1.48																					
17545	greasy	1.48																					
17546	cleverly	1.48																					
17547	convent	1.48																					
17548	bowler	1.48																					
17549	rebuke	1.48																					
17550	chimp	1.48																					
17551	needlessly	1.48																					
17552	dispenser	1.48																					
17553	reelection	1.48																					
17554	krishna	1.48																					
17555	maher	1.48																					
17556	graphite	1.48																					
17557	good-bye	1.48																					
17558	draconian	1.48																					
17559	commentor	1.48																					
17560	tuner	1.48																					
17561	barrister	1.48																					
17562	inbound	1.48																					
17563	astral	1.48																					
17564	encircle	1.48																					
17565	excellency	1.48																					
17566	labyrinth	1.48																					
17567	arrhythmia	1.48																					
17568	retard	1.48																					
17569	thistle	1.48																					
17570	khz	1.48																					
17571	curfew	1.48																					
17572	optometry	1.48																					
17573	unauthorised	1.48																					
17574	naturalistic	1.48																					
17575	icrc	1.48																					
17576	reconsideration	1.48																					
17577	uncorrected	1.48																					
17578	campfire	1.48																					
17579	annapolis	1.48																					
17580	usurp	1.48																					
17581	lao	1.48																					
17582	pricey	1.48																					
17583	peculiarity	1.48																					
17584	mccoy	1.48																					
17585	crossword	1.48																					
17586	extinguisher	1.48																					
17587	gape	1.48																					
17588	samaritan	1.48																					
17589	peeve	1.48																					
17590	avenge	1.48																					
17591	assoc	1.48																					
17592	mull	1.48																					
17593	screenshot	1.48																					
17594	pdfs	1.48																					
17595	inquisition	1.48																					
17596	aus	1.48																					
17597	harpercollins	1.48																					
17598	bsd	1.48																					
17599	jumbo	1.48																					
17600	diva	1.48																					
17601	cpus	1.48																					
17602	cutback	1.48																					
17603	integrator	1.48																					
17604	bohemian	1.48																					
17605	transporter	1.48																					
17606	musically	1.48																					
17607	reauthorization	1.48																					
17608	on-screen	1.48																					
17609	yogi	1.48																					
17610	aziz	1.47																					
17611	barrow	1.47																					
17612	reinstatement	1.47																					
17613	aux	1.47																					
17614	shackle	1.47																					
17615	montenegro	1.47																					
17616	splice	1.47																					
17617	rebuilding	1.47																					
17618	eeoc	1.47																					
17619	conclusively	1.47																					
17620	platte	1.47																					
17621	overpayment	1.47																					
17622	sherwood	1.47																					
17623	congregate	1.47																					
17624	rsvp	1.47																					
17625	seen	1.47																					
17626	abm	1.47																					
17627	euphoria	1.47																					
17628	long-lasting	1.47																					
17629	beset	1.47																					
17630	museums	1.47																					
17631	esb	1.47																					
17632	brandt	1.47																					
17633	double-click	1.47																					
17634	christchurch	1.47																					
17635	unintentionally	1.47																					
17636	almanac	1.47																					
17637	concomitant	1.47																					
17638	raisin	1.47																					
17639	student-athlete	1.47																					
17640	insurrection	1.47																					
17641	waver	1.47																					
17642	hdl	1.47																					
17643	fateful	1.47																					
17644	globalize	1.47																					
17645	quagmire	1.47																					
17646	subchapter	1.47																					
17647	modesty	1.47																					
17648	goodwin	1.47																					
17649	solvency	1.47																					
17650	doggy	1.47																					
17651	meds	1.47																					
17652	putter	1.47																					
17653	stuck	1.47																					
17654	scottsdale	1.47																					
17655	knuckle	1.47																					
17656	cameo	1.47																					
17657	spotted	1.47																					
17658	tingle	1.47																					
17659	sherlock	1.47																					
17660	woodstock	1.47																					
17661	infirmary	1.47																					
17662	credence	1.47																					
17663	mccall	1.47																					
17664	gallop	1.47																					
17665	covered	1.47																					
17666	operators	1.47																					
17667	carlton	1.47																					
17668	chariot	1.47																					
17669	eyeglass	1.47																					
17670	inoculation	1.47																					
17671	abate	1.47																					
17672	newfound	1.47																					
17673	omega-3	1.47																					
17674		1.47																					
17675	adorable	1.47																					
17676	bahrain	1.47																					
17677	interrelationship	1.47																					
17678	winer	1.47																					
17679	mutilate	1.47																					
17680	wreckage	1.47																					
17681	us-nationwide	1.46																					
17682	firefly	1.46																					
17683	dram	1.46																					
17684	ellie	1.46																					
17685	athena	1.46																					
17686	dda	1.46																					
17687	hayek	1.46																					
17688	pablo	1.46																					
17689	demos	1.46																					
17690	bertrand	1.46																					
17691	nhtsa	1.46																					
17692	neuter	1.46																					
17693	hernandez	1.46																					
17694	clamor	1.46																					
17695	squid	1.46																					
17696	cheng	1.46																					
17697	beech	1.46																					
17698	unplug	1.46																					
17699	sparc	1.46																					
17700	eta	1.46																					
17701	gruesome	1.46																					
17702	nonviolence	1.46																					
17703	derbyshire	1.46																					
17704	afterlife	1.46																					
17705	constrict	1.46																					
17706	merton	1.46																					
17707	patel	1.46																					
17708	pms	1.46																					
17709	perez	1.46																					
17710	gilmore	1.46																					
17711	exclamation	1.46																					
17712	pheasant	1.46																					
17713	lymphoma	1.46																					
17714	sighted	1.46																					
17715	mou	1.46																					
17716	hitchcock	1.46																					
17717	policy-making	1.46																					
17718	scripps	1.46																					
17719	muck	1.46																					
17720	dhea	1.46																					
17721	spiegel	1.46																					
17722	daze	1.46																					
17723	foucault	1.46																					
17724	hahn	1.46																					
17725	wen	1.46																					
17726	osi	1.46																					
17727	popularly	1.46																					
17728	defra	1.46																					
17729	unanticipated	1.46																					
17730	personalization	1.46																					
17731	furrow	1.46																					
17732	pretoria	1.46																					
17733	vu	1.46																					
17734	pitiful	1.46																					
17735	inuit	1.46																					
17736	lessor	1.46																					
17737	puddle	1.46																					
17738	trotsky	1.46																					
17739	correspondingly	1.46																					
17740	snowmobile	1.46																					
17741	domesticate	1.46																					
17742	relive	1.46																					
17743	intimidating	1.46																					
17744	iucn	1.46																					
17745	picking	1.46																					
17746	searle	1.46																					
17747	stevie	1.46																					
17748	clubhouse	1.46																					
17749	symbolically	1.46																					
17750	gulag	1.46																					
17751	negativeness	1.46																					
17752	megabyte	1.46																					
17753	resettlement	1.46																					
17754	parry	1.46																					
17755	low-wage	1.46																					
17756	aqua	1.46																					
17757	sneer	1.46																					
17758	slater	1.46																					
17759	encore	1.46																					
17760	ming	1.46																					
17761	transverse	1.46																					
17762	listserv	1.46																					
17763	follow-on	1.46																					
17764	suny	1.46																					
17765	heave	1.46																					
17766	damien	1.46																					
17767	easement	1.46																					
17768	encase	1.46																					
17769	janeiro	1.46																					
17770	abused	1.45																					
17771	semblance	1.45																					
17772	all-out	1.45																					
17773	sweatshop	1.45																					
17774	scold	1.45																					
17775	predate	1.45																					
17776	commodore	1.45																					
17777	hulk	1.45																					
17778	nomad	1.45																					
17779	reflector	1.45																					
17780	delude	1.45																					
17781	jules	1.45																					
17782	100th	1.45																					
17783	negotiable	1.45																					
17784	counterpoint	1.45																					
17785	eeg	1.45																					
17786	glyph	1.45																					
17787	gaap	1.45																					
17788	horace	1.45																					
17789	kyrgyzstan	1.45																					
17790	noncommercial	1.45																					
17791	negation	1.45																					
17792	spurt	1.45																					
17793	iep	1.45																					
17794	patronize	1.45																					
17795	lockwood	1.45																					
17796	complacent	1.45																					
17797	dsp	1.45																					
17798	typepad	1.45																					
17799	tramp	1.45																					
17800	cautionary	1.45																					
17801	duchess	1.45																					
17802	bluntly	1.45																					
17803	orr	1.45																					
17804	ht	1.45																					
17805	osaka	1.45																					
17806	wilcox	1.45																					
17807	burnett	1.45																					
17808	ringtones	1.45																					
17809	radon	1.45																					
17810	engineered	1.45																					
17811	Âwhen	1.44																					
17812	mil	1.44																					
17813	tonic	1.44																					
17814	phelps	1.44																					
17815	bhutan	1.44																					
17816	ocular	1.44																					
17817	adaptability	1.44																					
17818	wellbeing	1.44																					
17819	gupta	1.44																					
17820	opine	1.44																					
17821	auntie	1.44																					
17822	monde	1.44																					
17823	lowly	1.44																					
17824	ado	1.44																					
17825	allegheny	1.44																					
17826	spleen	1.44																					
17827	petersen	1.44																					
17828	generative	1.44																					
17829	20-year	1.44																					
17830	jigsaw	1.44																					
17831	howes	1.44																					
17832	unproven	1.44																					
17833	bison	1.44																					
17834	keystroke	1.44																					
17835	impartiality	1.44																					
17836	standards-based	1.44																					
17837	bastion	1.44																					
17838	ws	1.44																					
17839	guinness	1.44																					
17840	sill	1.44																					
17841	newt	1.44																					
17842	mauritius	1.44																					
17843	saigon	1.44																					
17844	hostess	1.44																					
17845	antony	1.44																					
17846	hawthorne	1.44																					
17847	uproot	1.44																					
17848	nervousness	1.44																					
17849	ucas	1.44																					
17850	a	1.44																					
17851	ecg	1.44																					
17852	ply	1.44																					
17853	industrialist	1.44																					
17854	antithesis	1.44																					
17855	plush	1.44																					
17856	malthus	1.44																					
17857	patchwork	1.44																					
17858	bellevue	1.44																					
17859	grady	1.44																					
17860	unenforceable	1.44																					
17861	mistreatment	1.44																					
17862	rockingham	1.44																					
17863	minimalist	1.44																					
17864	abby	1.44																					
17865	Âthey	1.44																					
17866	hackett	1.44																					
17867	broth	1.44																					
17868	intelligible	1.44																					
17869	garry	1.44																					
17870	valiant	1.44																					
17871	khrushchev	1.44																					
17872	urbanization	1.44																					
17873	beret	1.44																					
17874	valium	1.44																					
17875	df	1.44																					
17876	4-h	1.44																					
17877	naturalization	1.44																					
17878	swanson	1.44																					
17879	nutritionist	1.44																					
17880	repellent	1.44																					
17881	batting	1.44																					
17882	loader	1.44																					
17883	dalai	1.44																					
17884	top-level	1.44																					
17885	pernicious	1.44																					
17886	south-west	1.44																					
17887	infidelity	1.44																					
17888	deg	1.44																					
17889	interceptor	1.44																					
17890	cromwell	1.44																					
17891	restaurants	1.44																					
17892	wannabe	1.44																					
17893	revisited	1.44																					
17894	getty	1.44																					
17895	mechanistic	1.44																					
17896	chili	1.44																					
17897	aristocratic	1.44																					
17898	claremont	1.44																					
17899	karachi	1.44																					
17900	zoology	1.44																					
17901	indirection	1.44																					
17902	rut	1.44																					
17903	parsley	1.44																					
17904	indeterminate	1.44																					
17905	fetish	1.44																					
17906	anti-terrorism	1.44																					
17907	propeller	1.43																					
17908	subculture	1.43																					
17909	hoe	1.43																					
17910	tempest	1.43																					
17911	tat	1.43																					
17912	keenly	1.43																					
17913	lionel	1.43																					
17914	neurotic	1.43																					
17915	merlin	1.43																					
17916	inescapable	1.43																					
17917	madden	1.43																					
17918	etymology	1.43																					
17919	entanglement	1.43																					
17920	passover	1.43																					
17921	erich	1.43																					
17922	stampede	1.43																					
17923	abode	1.43																					
17924	stabilizer	1.43																					
17925	misty	1.43																					
17926	extortion	1.43																					
17927	tireless	1.43																					
17928	curate	1.43																					
17929	colorectal	1.43																					
17930	sightseeing	1.43																					
17931	acme	1.43																					
17932	terminally	1.43																					
17933	ventilate	1.43																					
17934	occupying	1.43																					
17935	stephan	1.43																					
17936	*the	1.43																					
17937	disassemble	1.43																					
17938	lowry	1.43																					
17939	malt	1.43																					
17940	cavern	1.43																					
17941	playlist	1.43																					
17942	superbly	1.43																					
17943	menÂs	1.43																					
17944	developmentally	1.43																					
17945	protectionist	1.43																					
17946	cadence	1.43																					
17947	recursive	1.43																					
17948	manhood	1.43																					
17949	destabilize	1.43																					
17950	wfp	1.43																					
17951	smug	1.43																					
17952	byu	1.43																					
17953	outstrip	1.43																					
17954	biometric	1.43																					
17955	crushed	1.43																					
17956	stenosis	1.43																					
17957	refractive	1.43																					
17958	monsieur	1.43																					
17959	martini	1.43																					
17960	sprite	1.43																					
17961	proactively	1.43																					
17962	sutra	1.43																					
17963	overboard	1.43																					
17964	noonan	1.43																					
17965	cavalier	1.43																					
17966	watching	1.43																					
17967	barbados	1.43																					
17968	uranus	1.43																					
17969	sandstone	1.43																					
17970	alamo	1.43																					
17971	swat	1.43																					
17972	anaerobic	1.43																					
17973	msp	1.43																					
17974	nirvana	1.43																					
17975	ringer	1.43																					
17976	synchronous	1.43																					
17977	intractable	1.43																					
17978	incapacitate	1.43																					
17979	one-fifth	1.43																					
17980	sundance	1.43																					
17981	chaucer	1.43																					
17982	vaughan	1.43																					
17983	zope	1.43																					
17984	osx	1.43																					
17985	languish	1.43																					
17986	allele	1.43																					
17987	wtf	1.43																					
17988	amenable	1.43																					
17989	activex	1.43																					
17990	savor	1.43																					
17991	weight-loss	1.43																					
17992	asymmetry	1.43																					
17993	ingestion	1.43																					
17994	thinly	1.43																					
17995	wendell	1.42																					
17996	laughable	1.42																					
17997	unequivocally	1.42																					
17998	coca	1.42																					
17999	hiv-1	1.42																					
18000	jammu	1.42																					
18001	polyester	1.42																					
18002	destitute	1.42																					
18003	ssa	1.42																					
18004	altman	1.42																					
18005	tit	1.42																					
18006	predefined	1.42																					
18007	nemesis	1.42																					
18008	bing	1.42																					
18009	apocalyptic	1.42																					
18010	gratuitement	1.42																					
18011	ari	1.42																					
18012	mana	1.42																					
18013	moussaoui	1.42																					
18014	swipe	1.42																					
18015	incubate	1.42																					
18016	cusp	1.42																					
18017	refresher	1.42																					
18018	adf	1.42																					
18019	lesley	1.42																					
18020	waffle	1.42																					
18021	fissile	1.42																					
18022	partridge	1.42																					
18023	private-sector	1.42																					
18024	yi	1.42																					
18025	igor	1.42																					
18026	photovoltaic	1.42																					
18027	slaughterhouse	1.42																					
18028	intoxication	1.42																					
18029	owners	1.42																					
18030	holloway	1.42																					
18031	tivoli	1.42																					
18032	resolver	1.42																					
18033	kurtz	1.42																					
18034	babble	1.42																					
18035	yer	1.42																					
18036	portage	1.42																					
18037	complicity	1.42																					
18038	nonverbal	1.42																					
18039	foreclosure	1.42																					
18040	general-purpose	1.42																					
18041	lettering	1.42																					
18042	quip	1.42																					
18043	rescuer	1.42																					
18044	somatic	1.42																					
18045	hitter	1.42																					
18046	corral	1.42																					
18047	shockwave	1.42																					
18048	mitre	1.42																					
18049	disinformation	1.42																					
18050	millet	1.42																					
18051	gestalt	1.42																					
18052	canister	1.42																					
18053	abolitionist	1.42																					
18054	reconstitute	1.42																					
18055	scum	1.42																					
18056	harshly	1.42																					
18057	agnes	1.42																					
18058	cray	1.42																					
18059	chu	1.42																					
18060	forgiving	1.42																					
18061	phrasing	1.42																					
18062	2pm	1.42																					
18063	tram	1.42																					
18064	billionaire	1.42																					
18065	immunodeficiency	1.42																					
18066	unisys	1.42																					
18067	we’ll	1.42																					
18068	hyperactivity	1.42																					
18069	commemorative	1.42																					
18070	fingernail	1.42																					
18071	non-compliance	1.42																					
18072	fujitsu	1.42																					
18073	midwifery	1.41																					
18074	ppc	1.41																					
18075	masterful	1.41																					
18076	disorganize	1.41																					
18077	darryl	1.41																					
18078	sweaty	1.41																					
18079	yukon	1.41																					
18080	weakening	1.41																					
18081	co-ordinator	1.41																					
18082	shri	1.41																					
18083	connor	1.41																					
18084	assam	1.41																					
18085	dominic	1.41																					
18086	macquarie	1.41																					
18087	tajikistan	1.41																					
18088	aberration	1.41																					
18089	cd4	1.41																					
18090	long-run	1.41																					
18091	cynic	1.41																					
18092	mms	1.41																					
18093	ever-changing	1.41																					
18094	overhang	1.41																					
18095	cong	1.41																					
18096	folic	1.41																					
18097	smiley	1.41																					
18098	hammock	1.41																					
18099	dhamma	1.41																					
18100	godfrey	1.41																					
18101	non-smoke	1.41																					
18102	cbt	1.41																					
18103	coated	1.41																					
18104	afb	1.41																					
18105	coveted	1.41																					
18106	self-directed	1.41																					
18107	spar	1.41																					
18108	overcrowding	1.41																					
18109	patently	1.41																					
18110	ofcom	1.41																					
18111	hutt	1.41																					
18112	throng	1.41																					
18113	iconic	1.41																					
18114	voodoo	1.41																					
18115	audiovisual	1.41																					
18116	unequivocal	1.41																					
18117	joystick	1.41																					
18118	meps	1.41																					
18119	mcgeer	1.41																					
18120	sodomy	1.41																					
18121	xavier	1.41																					
18122	datasets	1.41																					
18123	meyers	1.41																					
18124	beckon	1.41																					
18125	distributive	1.41																					
18126	collate	1.41																					
18127	gunshot	1.41																					
18128	potion	1.41																					
18129	shipyard	1.41																					
18130	titus	1.41																					
18131	nozzle	1.41																					
18132	bran	1.41																					
18133	unplanned	1.41																					
18134	4pm	1.41																					
18135	horseman	1.41																					
18136	transgender	1.41																					
18137	breast-feed	1.41																					
18138	rebut	1.41																					
18139	megawatt	1.41																					
18140	ligament	1.41																					
18141	fanatical	1.41																					
18142	tufts	1.41																					
18143	oxidize	1.41																					
18144	blending	1.41																					
18145	poach	1.41																					
18146	stagnate	1.41																					
18147	huxley	1.41																					
18148	nuanced	1.41																					
18149	hui	1.41																					
18150	silicone	1.41																					
18151	frenchman	1.41																					
18152	neumann	1.41																					
18153	malkin	1.41																					
18154	photosynthesis	1.41																					
18155	steadfast	1.41																					
18156	flanders	1.41																					
18157	pta	1.41																					
18158	whiteness	1.41																					
18159	rx	1.41																					
18160	idiotic	1.41																					
18161	nl	1.41																					
18162	kombucha	1.4																					
18163	ursula	1.4																					
18164	foothill	1.4																					
18165	morley	1.4																					
18166	litigate	1.4																					
18167	mutilation	1.4																					
18168	clove	1.4																					
18169	gravely	1.4																					
18170	glider	1.4																					
18171	electrify	1.4																					
18172	hyperlink	1.4																					
18173	self-assessment	1.4																					
18174	sams	1.4																					
18175	btu	1.4																					
18176	regan	1.4																					
18177	experimentally	1.4																					
18178	silo	1.4																					
18179	qld	1.4																					
18180	disgruntled	1.4																					
18181	numbness	1.4																					
18182	feinstein	1.4																					
18183	doubly	1.4																					
18184	canteen	1.4																					
18185	deflation	1.4																					
18186	mussel	1.4																					
18187	impromptu	1.4																					
18188	charley	1.4																					
18189	pseudonym	1.4																					
18190	determinism	1.4																					
18191	kindred	1.4																					
18192	cheyenne	1.4																					
18193	empathic	1.4																					
18194	johan	1.4																					
18195	reassign	1.4																					
18196	kicker	1.4																					
18197	low-	1.4																					
18198	disenfranchise	1.4																					
18199	viscosity	1.4																					
18200	frantically	1.4																					
18201	benevolence	1.4																					
18202	mindfulness	1.4																					
18203	delicacy	1.4																					
18204	colleen	1.4																					
18205	croatian	1.4																					
18206	octave	1.4																					
18207	bis	1.4																					
18208	procreation	1.4																					
18209	impoverish	1.4																					
18210	airfare	1.4																					
18211	posner	1.4																					
18212	haynes	1.4																					
18213	fibroid	1.4																					
18214	xquery	1.4																					
18215	athenian	1.4																					
18216	postmodernism	1.4																					
18217	convection	1.39																					
18218	treacherous	1.39																					
18219	lubricate	1.39																					
18220	ordination	1.39																					
18221	crs	1.39																					
18222	mower	1.39																					
18223	oswald	1.39																					
18224	wallis	1.39																					
18225	merchantability	1.39																					
18226	bolshevik	1.39																					
18227	suffocate	1.39																					
18228	veronica	1.39																					
18229	bells	1.39																					
18230	unregulated	1.39																					
18231	kgb	1.39																					
18232	coroner	1.39																					
18233	myrtle	1.39																					
18234	two-part	1.39																					
18235	corneal	1.39																					
18236	peddle	1.39																					
18237	duane	1.39																					
18238	edna	1.39																					
18239	school-based	1.39																					
18240	nf	1.39																					
18241	erickson	1.39																					
18242	pyjama	1.39																					
18243	maturation	1.39																					
18244	dar	1.39																					
18245	ethnographic	1.39																					
18246	tacoma	1.39																					
18247	exemplar	1.39																					
18248	whirlpool	1.39																					
18249	futuristic	1.39																					
18250	sauna	1.39																					
18251	firms	1.39																					
18252	compton	1.39																					
18253	png	1.39																					
18254	deep-rooted	1.39																					
18255	chinaÂs	1.39																					
18256	well-meaning	1.39																					
18257	iptv	1.39																					
18258	amelia	1.39																					
18259	fervent	1.39																					
18260	scoff	1.39																					
18261	tor	1.39																					
18262	quibble	1.39																					
18263	brownie	1.39																					
18264	al-jazeera	1.39																					
18265	sneeze	1.39																					
18266	fp	1.39																					
18267	intifada	1.39																					
18268	osce	1.39																					
18269	self-	1.39																					
18270	cameraman	1.39																					
18271	niosh	1.39																					
